RESP_FINAL;CATEGORY;A1R
2085;Medium;1
2255;Dark;6
4051;Medium;2
4215;Dark;6
4129;Dark;4
4008;Dark;1
4010;Dark;1
4096;Dark;3
4131;Dark;4
4007;Medium;1
4003;Light;1
4122;Dark;4
4089;Dark;3
4047;Dark;2
4088;Dark;3
4085;Dark;3
4048;Dark;2
4126;Dark;4
4044;Dark;2
4162;Dark;5
4083;Medium;3
4161;Medium;5
4045;Dark;2
4041;Medium;2
4095;Dark;3
4043;Medium;2
4053;Dark;2
4052;Dark;2
4004;Medium;1
2232;Dark;5
4216;Dark;6
4094;Dark;3
4128;Medium;4
4092;Dark;3
4093;Dark;3
4009;Dark;1
4050;Medium;2
4091;Dark;3
4049;Dark;2
4042;Dark;2
4127;Dark;4
4046;Medium;2
4124;Medium;4
4214;Dark;6
4121;Light;4
4001;Light;1
4081;Dark;3
4123;Dark;4
4002;Light;1
4090;Dark;3
4084;Dark;3
4097;Medium;3
4098;Dark;3
4011;Dark;1
4099;Medium;3
4012;Light;1
4006;Dark;1
4013;Light;1
4100;Medium;3
4101;Dark;3
2222;Medium;5
2077;Medium;1
2083;Light;2
2082;Dark;3
2084;Light;1
2088;Medium;2
2189;Dark;2
2139;Medium;2
2223;Medium;4
2142;Dark;4
2217;Dark;5
2233;Dark;5
2089;Medium;3
2148;Dark;2
2154;Dark;2
2143;Dark;2
2224;Dark;5
2159;Medium;3
4132;Dark;4
2155;Medium;2
2152;Medium;3
4015;Dark;1
4102;Dark;3
4103;Dark;3
2190;Dark;4
2187;Dark;4
2188;Medium;2
2117;Medium;2
4054;Medium;2
4163;Dark;5
4016;Dark;1
2192;Dark;4
2042;Light;2
2041;Dark;1
2098;Medium;1
2044;Light;1
2007;Dark;1
2043;Dark;2
2012;Medium;1
2094;Dark;3
2220;Dark;5
2219;Dark;6
2021;Medium;2
2092;Medium;3
2179;Dark;3
2040;Dark;1
2081;Dark;3
2008;Medium;1
2017;Dark;1
2216;Medium;5
2253;Medium;4
2221;Dark;6
2045;Medium;1
2004;Medium;3
2020;Medium;1
2018;Dark;1
2254;Light;5
2191;Dark;4
2078;Dark;2
2225;Dark;4
2160;Dark;5
2002;Medium;1
2006;Dark;1
2150;Dark;3
2022;Medium;1
2075;Dark;2
2175;Dark;1
2252;Dark;5
2076;Light;1
2113;Medium;1
2193;Medium;5
2229;Dark;5
2047;Dark;2
2046;Dark;2
2003;Dark;1
2116;Light;2
2091;Light;2
2048;Dark;2
2137;Dark;4
2144;Dark;2
2039;Medium;3
2073;Dark;2
2074;Dark;2
2226;Dark;6
2251;Dark;6
2103;Light;3
2072;Medium;2
2257;Dark;6
2256;Dark;6
2182;Dark;5
2049;Light;2
2231;Dark;6
2258;Dark;4
2051;Medium;1
2005;Dark;1
2105;Medium;3
2110;Medium;3
2009;Dark;1
2010;Dark;1
2259;Dark;6
2170;Medium;5
2097;Dark;3
2052;Dark;2
2236;Dark;6
2053;Dark;3
2161;Dark;4
4164;Dark;5
4104;Dark;3
