id,Number_light,Number_medium,Number_dark,Name_gcp_with_numberbyL
336,1.0,1.0,1.0,6-336-BrunNoirMarronfoncé-200000142127-7
2311,2.0,2.0,2.0,7-2311-Digital-Rouge
1800,3.0,3.0,3.0,8-1800-Violet-200000654266-1
2290,4.0,4.0,4.0,9-2290-Digital-Rouge
2333,5.0,5.0,5.0,10-2333-Digital-Nacre
2339,6.0,6.0,6.0,11-2339-Digital-ChatainMarron
2302,7.0,7.0,7.0,14-2302-Digital-Nacre
684,8.0,8.0,8.0,17-684-ChatainMarron-200000655541-46
585,9.0,9.0,9.0,18-585-BrunNoirMarronfoncé-20240514-141037-14
2299,10.0,10.0,10.0,21-2299-Digital-ChatainMarron
2249,11.0,11.0,11.0,22-2249-Digital-ChatainMarron
2365,12.0,12.0,12.0,23-2365-Digital-Rouge
2259,13.0,13.0,13.0,24-2259-Digital-CuivreRoux
2269,14.0,14.0,14.0,25-2269-Digital-CuivreRoux
990,15.0,15.0,15.0,28-990-ChatainMarron-200000654295-42
2319,16.0,16.0,16.0,29-2319-Digital-Rouge
2330,17.0,17.0,17.0,30-2330-Digital-ChatainMarron
999,18.0,18.0,18.0,31-999-ChatainMarron-200000655239-12
2202,19.0,19.0,19.0,32-2202-Rouge-200000633939-5
2317,20.0,20.0,20.0,33-2317-Digital-Nacre
1047,21.0,21.0,21.0,34-1047-ChatainMarron-200000655228-39
2320,22.0,22.0,22.0,35-2320-Digital-ChatainMarron
2281,23.0,23.0,23.0,36-2281-Digital-Rouge
1838,24.0,24.0,24.0,37-1838-Violet-200000634908-7
1101,25.0,25.0,25.0,38-1101-ChatainMarron-200000634770-17
2222,26.0,26.0,26.0,39-2222-Rouge-200003655446-2
1160,27.0,27.0,27.0,40-1160-ChatainMarron-200000239200-23
1166,28.0,28.0,28.0,41-1166-ChatainMarron-200000634414-7
2292,29.0,29.0,29.0,42-2292-Digital-Rouge
1231,30.0,30.0,30.0,43-1231-ChatainMarron-200000658496-41
1245,31.0,31.0,31.0,44-1245-ChatainMarron-200003422177-11
1289,32.0,32.0,32.0,46-1289-ChatainMarron-200000655302-9
2254,33.0,33.0,33.0,47-2254-Digital-ChatainMarron
1443,34.0,34.0,34.0,48-1443-Blond-200000226968-7
1300,35.0,35.0,35.0,49-1300-ChatainMarron-200000604254-16
1315,36.0,36.0,36.0,50-1315-ChatainMarron-200000633841-37
1322,37.0,37.0,37.0,51-1322-ChatainMarron-200000128853-45
1947,38.0,38.0,38.0,52-1947-CuivréRoux-200000654268-3
2346,39.0,39.0,39.0,53-2346-Digital-ChatainMarron
